status,year,country,region,borrowerCode,borrowerType,borrowerNotGouv,financier,financeType,group,reportedValue,reportedUnit,cleanUSD,interestRate,liborRate,repayment,grace,term,purpose
Completed,2002,Angola,CA,,,Government,CIDCA,ZIL,1.0,50,CNY,6,0,,,,,Luanda Hospital
Signed,2003,Angola,CA,,,Government,CIDCA,ZIL,1.0,11,USD,11,0,,,,,Economic Housing Project
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,41,USD,41,,Libor + 1.5,,5.0,17,"Andulo, Bié and Caála, Huambo, Construction of 2 Agrarian Technical Schools"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,15,USD,15,,Libor + 1.5,,5.0,17,"Quéssua, Malange, Agrarian Institute Rebuild"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,53,USD,53,,Libor + 1.5,,5.0,17,"Benguela, 2 Institute of Technology Constructions; Luanda, 4 Institute of Technology Constructions"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,16,USD,16,,Libor + 1.5,,5.0,17,"Benguela, 1 Secondary School Construction; Luanda, 3 Secondary School Constructions"
Completed,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,9,USD,9,,Libor + 1.5,,5.0,17,"Sumbe, Institute of Technology Construction  "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,7,USD,7,,Libor + 1.5,,5.0,17,"Malange, 2 Secondary School Constructions"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,13,USD,13,,Libor + 1.5,,5.0,17,"Huíla, 1 Institute of Technology and 1 Secondary School Construction"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,41,USD,41,,Libor + 1.5,,5.0,17,"Kwanza-Sul and Kwanza-Norte, 2 Agrarian Technical Schools "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,4,USD,4,,Libor + 1.5,,5.0,17,Ambulances Purchase - 86 Units
